year,reach,period,LifeStage,mortality,encounters
2021,Upper (above Dalles),38,adult,2.41,24.1
2021,Upper (above Dalles),39,adult,3.158,31.58
2021,Upper (above Dalles),40,adult,0,0
2021,Upper (above Dalles),41,adult,0.9199999999999999,9.2
2021,Upper (above Dalles),42,adult,0.38000000000000006,3.8000000000000007
2021,Upper (above Dalles),43,adult,0,0
2021,Upper (above Dalles),44,adult,0.606,6.06
2021,Upper (above Dalles),45,adult,0,0
2021,Upper (above Dalles),46,adult,0,0
2021,Upper (above Dalles),47,adult,0,0
2021,Upper (above Dalles),48,adult,0,0
2021,Upper (above Dalles),38,jack,2.334,23.34
2021,Upper (above Dalles),39,jack,0,0
2021,Upper (above Dalles),40,jack,0,0
2021,Upper (above Dalles),41,jack,0,0
2021,Upper (above Dalles),42,jack,0,0
2021,Upper (above Dalles),43,jack,0,0
2021,Upper (above Dalles),44,jack,0,0
2021,Upper (above Dalles),45,jack,0,0
2021,Upper (above Dalles),46,jack,0,0
2021,Upper (above Dalles),47,jack,0,0
2021,Upper (above Dalles),48,jack,0,0
2022,Upper (above Dalles),38,adult,0.9900000000000001,9.9
2022,Upper (above Dalles),39,adult,3.865,38.65
2022,Upper (above Dalles),40,adult,0,0
2022,Upper (above Dalles),41,adult,1.209,12.09
2022,Upper (above Dalles),42,adult,0,0
2022,Upper (above Dalles),43,adult,0,0
2022,Upper (above Dalles),44,adult,0,0
2022,Upper (above Dalles),45,adult,0,0
2022,Upper (above Dalles),46,adult,0,0
2022,Upper (above Dalles),47,adult,0,0
2022,Upper (above Dalles),38,jack,0,0
2022,Upper (above Dalles),39,jack,0,0
2022,Upper (above Dalles),40,jack,0,0
2022,Upper (above Dalles),41,jack,0,0
2022,Upper (above Dalles),42,jack,0,0
2022,Upper (above Dalles),43,jack,0,0
2022,Upper (above Dalles),44,jack,0,0
2022,Upper (above Dalles),45,jack,0,0
2022,Upper (above Dalles),46,jack,0,0
2022,Upper (above Dalles),47,jack,0,0
2021,Lower (below Dalles),33,adult,0,0
2021,Lower (below Dalles),34,adult,0,0
2021,Lower (below Dalles),35,adult,5.250000000000001,52.5
2021,Upper (above Dalles),35,adult,0,0
2021,Lower (below Dalles),36,adult,0,0
2021,Upper (above Dalles),36,adult,3.0120000000000005,30.120000000000005
2021,Lower (below Dalles),37,adult,0,0
2021,Upper (above Dalles),37,adult,1.095,10.95
2021,Lower (below Dalles),38,adult,0,0
2021,Lower (below Dalles),39,adult,0,0
2021,Lower (below Dalles),40,adult,0,0
2021,Lower (below Dalles),41,adult,0,0
2021,Lower (below Dalles),42,adult,0,0
2021,Lower (below Dalles),43,adult,0,0
2021,Lower (below Dalles),44,adult,0,0
2021,Lower (below Dalles),45,adult,0,0
2021,Lower (below Dalles),47,adult,0,0
2021,Lower (below Dalles),48,adult,0,0
2021,Upper (above Dalles),49,adult,0,0
2021,Lower (below Dalles),49,adult,0,0
2021,Lower (below Dalles),50,adult,0,0
2021,Upper (above Dalles),50,adult,0,0
2021,Lower (below Dalles),51,adult,0,0
2021,Upper (above Dalles),51,adult,0,0
2021,Lower (below Dalles),52,adult,0,0
2021,Lower (below Dalles),33,jack,0,0
2021,Lower (below Dalles),34,jack,0,0
2021,Lower (below Dalles),35,jack,3.912,39.12
2021,Upper (above Dalles),35,jack,0,0
2021,Lower (below Dalles),36,jack,0,0
2021,Upper (above Dalles),36,jack,0,0
2021,Lower (below Dalles),37,jack,0,0
2021,Upper (above Dalles),37,jack,0,0
2021,Lower (below Dalles),38,jack,0,0
2021,Lower (below Dalles),39,jack,0,0
2021,Lower (below Dalles),40,jack,0,0
2021,Lower (below Dalles),41,jack,0,0
2021,Lower (below Dalles),42,jack,0,0
2021,Lower (below Dalles),43,jack,0,0
2021,Lower (below Dalles),44,jack,0,0
2021,Lower (below Dalles),45,jack,0,0
2021,Lower (below Dalles),47,jack,0,0
2021,Lower (below Dalles),48,jack,0,0
2021,Upper (above Dalles),49,jack,0,0
2021,Lower (below Dalles),49,jack,0,0
2021,Lower (below Dalles),50,jack,0,0
2021,Upper (above Dalles),50,jack,0,0
2021,Lower (below Dalles),51,jack,0,0
2021,Upper (above Dalles),51,jack,0,0
2021,Lower (below Dalles),52,jack,0,0
2022,Lower (below Dalles),35,adult,3.0860000000000003,30.86
2022,Upper (above Dalles),35,adult,10.82,108.19999999999999
2022,Lower (below Dalles),36,adult,0,0
2022,Upper (above Dalles),36,adult,1.508,15.08
2022,Lower (below Dalles),37,adult,0.23399999999999999,2.34
