Proposed Section #,WeekNumberBeginningSunday,WeekNumberBeginningMonday,WeekNumISOMonday,fishery_name,water_body,location,section_num,event_date,day_type,period,week,month,year,fishery_day_index,fishery_week_index,fishery_month_index,catch_group,angler_type,estimate_type,mean_catch_period,mean_catch_daily,Species,LifeStage,Mark,Fate,Notes
Cascade.1.0,39,39,38,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,9/21/2021,weekday,38,38,9,2021,6,2,1,Chinook_Adult_AD_Released,bank,PE,33.41,8.35,chinook,adult,AD,Released,
Cascade.1.0,39,39,38,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,9/22/2021,weekday,38,38,9,2021,7,2,1,Chinook_Adult_AD_Released,bank,PE,33.41,8.35,chinook,adult,AD,Released,
Cascade.1.0,39,39,38,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,9/23/2021,weekday,38,38,9,2021,8,2,1,Chinook_Adult_AD_Released,bank,PE,33.41,8.35,chinook,adult,AD,Released,
Cascade.1.0,39,39,38,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,9/24/2021,weekday,38,38,9,2021,9,2,1,Chinook_Adult_AD_Released,bank,PE,33.41,8.35,chinook,adult,AD,Released,
Cascade.1.0,40,40,39,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,9/28/2021,weekday,39,39,9,2021,13,3,1,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,40,40,39,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,9/29/2021,weekday,39,39,9,2021,14,3,1,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,40,40,39,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,9/30/2021,weekday,39,39,9,2021,15,3,1,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,40,40,39,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,10/1/2021,weekday,39,39,10,2021,16,3,2,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,40,40,39,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,10/2/2021,weekend,39,39,10,2021,17,3,2,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,41,41,40,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,10/5/2021,weekday,40,40,10,2021,20,4,2,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,41,41,40,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,10/6/2021,weekday,40,40,10,2021,21,4,2,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,41,41,40,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,10/7/2021,weekday,40,40,10,2021,22,4,2,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,41,41,40,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,10/8/2021,weekday,40,40,10,2021,23,4,2,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,41,41,40,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,10/9/2021,weekend,40,40,10,2021,24,4,2,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,42,42,41,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,10/12/2021,weekday,41,41,10,2021,27,5,2,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,42,42,41,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,10/13/2021,weekday,41,41,10,2021,28,5,2,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,42,42,41,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,10/14/2021,weekday,41,41,10,2021,29,5,2,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,42,42,41,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,10/15/2021,weekday,41,41,10,2021,30,5,2,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,42,42,41,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,10/16/2021,weekend,41,41,10,2021,31,5,2,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,43,42,41,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,10/17/2021,weekend,41,41,10,2021,32,5,2,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,43,43,42,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,10/20/2021,weekday,42,42,10,2021,35,6,2,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,43,43,42,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,10/21/2021,weekday,42,42,10,2021,36,6,2,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,43,43,42,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,10/22/2021,weekday,42,42,10,2021,37,6,2,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,43,43,42,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,10/23/2021,weekend,42,42,10,2021,38,6,2,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,44,43,42,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,10/24/2021,weekend,42,42,10,2021,39,6,2,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,44,44,43,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,10/25/2021,weekday,43,43,10,2021,40,7,2,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,44,44,43,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,10/26/2021,weekday,43,43,10,2021,41,7,2,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,44,44,43,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,10/27/2021,weekday,43,43,10,2021,42,7,2,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,44,44,43,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,10/28/2021,weekday,43,43,10,2021,43,7,2,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,44,44,43,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,10/29/2021,weekday,43,43,10,2021,44,7,2,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,44,44,43,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,10/30/2021,weekend,43,43,10,2021,45,7,2,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,45,44,43,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,10/31/2021,weekend,43,43,10,2021,46,7,2,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,45,45,44,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,11/1/2021,weekday,44,44,11,2021,47,8,3,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,45,45,44,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,11/2/2021,weekday,44,44,11,2021,48,8,3,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,45,45,44,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,11/3/2021,weekday,44,44,11,2021,49,8,3,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,45,45,44,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,11/4/2021,weekday,44,44,11,2021,50,8,3,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,45,45,44,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,11/5/2021,weekday,44,44,11,2021,51,8,3,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,45,45,44,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,11/6/2021,weekend,44,44,11,2021,52,8,3,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,46,45,44,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,11/7/2021,weekend,44,44,11,2021,53,8,3,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,46,46,45,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,11/8/2021,weekday,45,45,11,2021,54,9,3,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,46,46,45,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,11/9/2021,weekday,45,45,11,2021,55,9,3,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,46,46,45,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,11/10/2021,weekday,45,45,11,2021,56,9,3,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,46,46,45,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,11/12/2021,weekday,45,45,11,2021,58,9,3,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,47,47,46,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,11/20/2021,weekend,46,46,11,2021,66,10,3,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,48,47,46,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,11/21/2021,weekend,46,46,11,2021,67,10,3,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,48,48,47,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,11/22/2021,weekday,47,47,11,2021,68,11,3,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,48,48,47,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,11/23/2021,weekday,47,47,11,2021,69,11,3,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,48,48,47,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,11/24/2021,weekday,47,47,11,2021,70,11,3,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,49,49,48,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,11/29/2021,weekday,48,48,11,2021,75,12,3,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,49,49,48,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,11/30/2021,weekday,48,48,11,2021,76,12,3,Chinook_Adult_AD_Released,bank,PE,0,0,chinook,adult,AD,Released,
Cascade.1.0,39,39,38,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,9/21/2021,weekday,38,38,9,2021,6,2,1,Chinook_Adult_UM_Released,bank,PE,0,0,chinook,adult,UM,Released,
Cascade.1.0,39,39,38,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,9/22/2021,weekday,38,38,9,2021,7,2,1,Chinook_Adult_UM_Released,bank,PE,0,0,chinook,adult,UM,Released,
Cascade.1.0,39,39,38,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,9/23/2021,weekday,38,38,9,2021,8,2,1,Chinook_Adult_UM_Released,bank,PE,0,0,chinook,adult,UM,Released,
Cascade.1.0,39,39,38,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,9/24/2021,weekday,38,38,9,2021,9,2,1,Chinook_Adult_UM_Released,bank,PE,0,0,chinook,adult,UM,Released,
Cascade.1.0,40,40,39,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,9/28/2021,weekday,39,39,9,2021,13,3,1,Chinook_Adult_UM_Released,bank,PE,0,0,chinook,adult,UM,Released,
Cascade.1.0,40,40,39,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,9/29/2021,weekday,39,39,9,2021,14,3,1,Chinook_Adult_UM_Released,bank,PE,0,0,chinook,adult,UM,Released,
Cascade.1.0,40,40,39,Cascade fall salmon 2021,Cascade River,From mouth to Rockport-Cascade Rd. Bridge,1,9/30/2021,weekday,39,39,9,2021,15,3,1,Chinook_Adult_UM_Released,bank,PE,0,0,chinook,adult,UM,Released,
